id,baslik,arastirma_konusu,uygulama_adimi,gorsel_url,ogrenci_ad,ogrenci_soyad,ogrenci_no
1,"E-ticaret arayüzlerinde karanlık örüntülerin incelenmesi (Dark Patterns)","Karanlık örüntü (dark pattern) kavramını literatürden tanımlar; özellikle yönlendirme, gizleme, zorlaştırma gibi örüntü türlerini sınıflandırır. Hangi örüntülerin kullanıcı kararını etkilediğini tartışır. (CHI 2024 dark patterns ontolojisi iyi bir başlangıç olur.)","2–3 e-ticaret sitesinde (ör. Trendyol, Hepsiburada, Amazon TR) üyelik, sepete ekleme, kampanya katılımı, üyelikten çıkış gibi akışları ekran görüntüsüyle karşılaştırıp “dark pattern kontrol listesi” ile puanlama.",https://picsum.photos/seed/darkpatterns/800/600,,,
2,"Çerez izin pencerelerinde kullanıcı kararını etkileyen tasarım unsurları (Cookie Consent UI)","Çerez banner’larında buton yerleşimi, buton metni, renk/öncelik gibi unsurların kullanıcı kararına etkisini literatür üzerinden inceler. Kullanıcı “kabul/ret” davranışını etkileyen tasarım seçimlerini tartışır.","10 popüler web sitesinin çerez penceresini karşılaştırma (ret butonu görünürlüğü, seçenek sayısı, kaç tıklama gerektiği). İsterseniz küçük bir kullanıcı testiyle “hangi tasarım daha anlaşılır?” sorusu da eklenebilir.",https://picsum.photos/seed/cookie/800/600,,,
3,"Web sitelerinde klavye ile gezilebilirlik sorunları (Keyboard Accessibility)","Klavye kullanıcıları için odak sırası (focus order), görünür odak (focus visibility), erişilemeyen bileşenler gibi temel erişilebilirlik sorunlarını literatürden inceler. Özellikle klavye navigasyon engellerini tespit etmeye odaklanır.","2 kurumsal site + 1 e-ticaret sitesinde sadece klavye (Tab, Shift+Tab, Enter, Esc) ile görev tamamlama testi (arama, filtreleme, form doldurma). Sorunları ekran kaydı + kısa bulgu tablosu ile raporlama.",https://picsum.photos/seed/keyboard/800/600,,,
4,"Mobil uygulamalarda ekran okuyucu erişilebilirliği (Screen Reader Accessibility)","Mobil arayüzlerde ekran okuyucu (screen reader) kullanımında görülen erişilebilirlik hatalarını literatürden inceler. Son çalışmalarda LLM destekli otomatik tespit yaklaşımlarının neden ortaya çıktığını ve klasik denetim araçlarının sınırlarını tartışır.","2 mobil uygulamada (ör. bankacılık, e-ticaret, yemek siparişi) erişilebilirlik tarayıcısı + manuel kontrol ile temel sorun taraması (etiket eksikliği, buton açıklaması, okunabilirlik). Teknik derinlik gerektirmez; gözlemsel değerlendirme yeterli.",https://picsum.photos/seed/screenreader/800/600,,,
5,"Çok faktörlü doğrulama süreçlerinde kullanılabilirlik (Multi-Factor Authentication Usability)","MFA (çok faktörlü doğrulama) süreçlerinde güvenlik-kullanılabilirlik dengesini inceler. Özellikle adım sayısı, hata riski, geri dönüş/iyileşme (recovery), kullanıcı algısı gibi HCI boyutlarını literatürle tartışır.","Farklı servislerin MFA akışlarını karşılaştırma (ör. Google, Microsoft, banka uygulaması): kurulum süresi, hata anı mesajları, yedek kod/geri kazanım adımları, kullanıcıya açıklık. Küçük bir “görev tamamlama” testi yapılabilir.",https://picsum.photos/seed/mfa/800/600,,,
6,"Yardım merkezi ve self-servis destek ekranlarının kullanılabilirliği (Self-Service Portal Usability)","Self-servis portal, yardım merkezi ve destek akışlarında kullanılan HCI değerlendirme yöntemlerini (bilişsel yürüyüş/cognitive walkthrough, kullanılabilirlik testi, SUS vb.) literatürden inceler. Hangi sorunların kullanıcı memnuniyetini düşürdüğünü tartışır.","İki markanın yardım merkezi akışını karşılaştırma (sipariş iptali, iade, canlı destek bulma). 5–10 kullanıcıyla mini görev testi + kısa SUS formu uygulanabilir.",https://picsum.photos/seed/support/800/600,,,
7,"Bildirim tasarımı ve dijital dikkat yönetimi (Notifications & Digital Wellbeing)","Bildirimlerin dikkat bölünmesi, kontrol hissi ve dijital iyi oluş (digital wellbeing) üzerindeki etkisini inceler. Literatürde “dijital dikkat sezgileri/heuristics” ve bildirim azaltma müdahalelerini özetler.","3 mobil uygulamanın bildirim ayar ekranlarını karşılaştırma (gruplama, sessize alma, kategori bazlı kontrol, zamanlama seçenekleri). “Kullanıcıya kontrol veriyor mu?” odaklı basit sezgisel değerlendirme.",https://picsum.photos/seed/notifications/800/600,,,
8,"İnsan-bilgisayar etkileşiminde güven modelleri (Trust Models in HCI)","HCI literatüründe güvenin (trust) nasıl tanımlandığını, hangi teorilerle açıklandığını ve hangi değişkenlerle ölçüldüğünü inceler. Özellikle “güven” kavramının farklı çalışmalarda farklı biçimde kullanılması sorununu tartışır.","Aynı görevi yapan iki dijital sistem (ör. iki chatbot ya da iki öneri sistemi) için küçük bir kullanıcı anketi tasarlayıp güven algısını karşılaştırma (açıklık, tutarlılık, kontrol hissi, hata toleransı).",https://picsum.photos/seed/trust/800/600,,,
9,"Açıklama arayüzü tasarımı (Explanation User Interfaces / XUI)","XAI’de teknik açıklama üretmekten çok, bu açıklamanın kullanıcıya nasıl sunulduğunu (arayüz düzeyi) inceler. Literatürdeki açıklama biçimleri, tasarım ilkeleri ve değerlendirme yaklaşımlarını özetler.","Aynı AI çıktısı için 2 farklı açıklama ekranı prototipi (ör. metin ağırlıklı vs görsel destekli) hazırlayıp 8–10 kullanıcıya hangisinin daha anlaşılır olduğunu test etmek (Figma yeterli).",https://picsum.photos/seed/xui/800/600,,,
10,"Diyalog tabanlı açıklanabilirlik (Dialogue-Based XAI)","Tek seferlik açıklama (one-shot explanation) yerine, soru-cevap şeklinde ilerleyen diyalog tabanlı açıklama yaklaşımlarını inceler. Literatürde hangi kullanıcı sorularının desteklendiğini ve nasıl değerlendirildiğini özetler.","Bir karar destek senaryosu için (ör. ürün önerisi, kredi ön değerlendirme, rota önerisi) diyalog tabanlı açıklama akışı tasarlamak; 5–8 kullanıcıyla “hangi soruları sormak istiyorlar?” odaklı mini test yapmak.",https://picsum.photos/seed/dialogue/800/600,,,
11,"Yapay zekâ belirsizliğinin görselleştirilmesi (Uncertainty Visualization)","AI çıktısındaki belirsizliğin (uncertainty) kullanıcı güveni, karar değişimi ve güven kalibrasyonu üzerindeki etkisini inceler. Literatürde renk, boyut, yoğunluk gibi görsel belirsizlik gösterimlerini karşılaştırır.","Basit bir tahmin ekranında (ör. hava durumu, fiyat tahmini, spor tahmini) belirsizliği iki farklı şekilde göstermek (yüzde + görsel işaret) ve küçük kullanıcı grubunda hangisinin daha anlaşılır bulunduğunu ölçmek.",https://picsum.photos/seed/uncertainty/800/600,,,
12,"Büyük dil modellerine güven kalibrasyonu (Appropriate Reliance on LLMs)","LLM’lerde aşırı güven (over-reliance) ve yetersiz güven (under-reliance) problemini literatürden inceler. Hangi arayüz müdahalelerinin (uyarı, açıklama, kaynak, güven işareti vb.) gerçekten işe yarayıp yaramadığını tartışır.","Aynı sorular için üç farklı chatbot çıktı tasarımı hazırlama: sadece cevap, cevap + açıklama, cevap + kaynak + uyarı. Kullanıcılara hangisine daha çok güvendiklerini ve nedenini sormak (hafif analiz yeterli).",https://picsum.photos/seed/llmtrust/800/600,,,
13,"LLM tabanlı arama sistemlerinde hız–doğruluk–güven dengesi (LLM-Based Search UX)","LLM destekli arama deneyiminin (özet cevap veren arama) klasik aramadan nasıl farklılaştığını inceler: hız, memnuniyet, sorgu sayısı, ama aynı zamanda hata ve aşırı güven riski.","Aynı bilgi görevini iki araçla yaptırma (ör. klasik arama motoru vs LLM arama): görev süresi, kullanıcı memnuniyeti, “cevabı doğruladım mı?” davranışı üzerine kısa karşılaştırma.",https://picsum.photos/seed/llmsearch/800/600,,,
14,"Üretken yapay zekâ sohbetlerinde sosyal ipuçları ve dalkavukluk etkisi (Social Cues & Sycophancy)","Generative AI sohbet arayüzlerinde sosyal ipuçlarının (insansı ton, onaylayıcı dil vb.) güveni nasıl etkilediğini ve “dalkavuk” (sycophantic) cevapların kullanıcıyı nasıl yanıltabildiğini literatürle inceler.","Aynı soruya verilen iki cevap biçimini karşılaştırma: nötr/kanıta dayalı ton vs aşırı onaylayıcı/sıcak ton. Kullanıcının güven, memnuniyet ve doğruluk algısını mini anketle ölçme.",https://picsum.photos/seed/socialcues/800/600,,,
15,"Chatbot’larda diyalog kırılması ve toparlama stratejileri (Dialogue Breakdown & Repair)","Chatbot konuşmalarında “anlamama”, yanlış yönlendirme, bağlam kaybı gibi diyalog kırılmalarını; bunlara karşı kullanılan onarım (repair) ve toparlama (recovery) stratejilerini literatürden inceler. Özellikle kullanıcı memnuniyetini artıran toparlama mesajlarını tartışır.","2 müşteri hizmetleri chatbotunda kasıtlı olarak zor/ambiguous sorular sorup şu noktaları karşılaştırma: hata mesajı kalitesi, alternatif öneri sunma, canlı desteğe geçiş, özür dili, kullanıcıyı suçlamama dili.",https://picsum.photos/seed/repair/800/600,,,
